Afghanistan,Kabul,27657145
Åland Islands,Mariehamn,28875
Albania,Tirana,2886026
Algeria,Algiers,40400000
American Samoa,Pago Pago,57100
Andorra,Andorra la Vella,78014
Angola,Luanda,25868000
Anguilla,The Valley,13452
Antarctica,,1000
Antigua and Barbuda,Saint John's,86295
Argentina,Buenos Aires,43590400
Armenia,Yerevan,2994400
Aruba,Oranjestad,107394
Australia,Canberra,24117360
Austria,Vienna,8725931
Azerbaijan,Baku,9730500
Bahamas,Nassau,378040
Bahrain,Manama,1404900
Bangladesh,Dhaka,161006790
Barbados,Bridgetown,285000
Belarus,Minsk,9498700
Belgium,Brussels,11319511
Belize,Belmopan,370300
Benin,Porto-Novo,10653654
Bermuda,Hamilton,61954
Bhutan,Thimphu,775620
Bolivia (Plurinational State of),Sucre,10985059
Bonaire, Sint Eustatius and Saba,Kralendijk,17408
Bosnia and Herzegovina,Sarajevo,3531159
Botswana,Gaborone,2141206
Bouvet Island,,0
Brazil,Brasília,206135893
British Indian Ocean Territory,Diego Garcia,3000
United States Minor Outlying Islands,,300
Virgin Islands (British),Road Town,28514
Virgin Islands (U.S.),Charlotte Amalie,114743
Brunei Darussalam,Bandar Seri Begawan,411900
Bulgaria,Sofia,7153784
Burkina Faso,Ouagadougou,19034397
Burundi,Bujumbura,10114505
Cambodia,Phnom Penh,15626444
Cameroon,Yaoundé,22709892
Canada,Ottawa,36155487
Cabo Verde,Praia,531239
Cayman Islands,George Town,58238
Central African Republic,Bangui,4998000
Chad,N'Djamena,14497000
Chile,Santiago,18191900
China,Beijing,1377422166
Christmas Island,Flying Fish Cove,2072
Cocos (Keeling) Islands,West Island,550
Colombia,Bogotá,48759958
Comoros,Moroni,806153
Congo,Brazzaville,4741000
Congo (Democratic Republic of the),Kinshasa,85026000
Cook Islands,Avarua,18100
Costa Rica,San José,4890379
Croatia,Zagreb,4190669
Cuba,Havana,11239004
Curaçao,Willemstad,154843
Cyprus,Nicosia,847000
Czech Republic,Prague,10558524
Denmark,Copenhagen,5717014
Djibouti,Djibouti,900000
Dominica,Roseau,71293
Dominican Republic,Santo Domingo,10075045
Ecuador,Quito,16545799
Egypt,Cairo,91290000
El Salvador,San Salvador,6520675
Equatorial Guinea,Malabo,1222442
Eritrea,Asmara,5352000
Estonia,Tallinn,1315944
Ethiopia,Addis Ababa,92206005
Falkland Islands (Malvinas),Stanley,2563
Faroe Islands,Tórshavn,49376
Fiji,Suva,867000
Finland,Helsinki,5491817
France,Paris,66710000
French Guiana,Cayenne,254541
French Polynesia,Papeetē,271800
French Southern Territories,Port-aux-Français,140
Gabon,Libreville,1802278
Gambia,Banjul,1882450
Georgia,Tbilisi,3720400
Germany,Berlin,81770900
Germany,Frankfuit,81770900
Germany,Munich,81770900
Ghana,Accra,27670174
Gibraltar,Gibraltar,33140
Greece,Athens,10858018
Greenland,Nuuk,55847
Grenada,St. George's,103328
Guadeloupe,Basse-Terre,400132
Guam,Hagåtña,184200
Guatemala,Guatemala City,16176133
Guernsey,St. Peter Port,62999
Guinea,Conakry,12947000
Guinea-Bissau,Bissau,1547777
Guyana,Georgetown,746900
Haiti,Port-au-Prince,11078033
Heard Island and McDonald Islands,,0
Holy See,Rome,451
Honduras,Tegucigalpa,8576532
Hong Kong,City of Victoria,7324300
Hungary,Budapest,9823000
Iceland,Reykjavík,334300
India,New Delhi,1295210000
India,Mumbai,1295210000
India,Chennai,1295210000
Indonesia,Jakarta,258705000
Côte d'Ivoire,Yamoussoukro,22671331
Iran (Islamic Republic of),Tehran,79369900
Iraq,Baghdad,37883543
Ireland,Dublin,6378000
Isle of Man,Douglas,84497
Israel,Jerusalem,8527400
Italy,Rome,60665551
Jamaica,Kingston,2723246
Japan,Tokyo,126960000
Jersey,Saint Helier,100800
Jordan,Amman,9531712
Kazakhstan,Astana,17753200
Kenya,Nairobi,47251000
Kiribati,South Tarawa,113400
Kuwait,Kuwait City,4183658
Kyrgyzstan,Bishkek,6047800
Lao People's Democratic Republic,Vientiane,6492400
Latvia,Riga,1961600
Lebanon,Beirut,5988000
Lesotho,Maseru,1894194
Liberia,Monrovia,4615000
Libya,Tripoli,6385000
Liechtenstein,Vaduz,37623
Lithuania,Vilnius,2872294
Luxembourg,Luxembourg,576200
Macao,,649100
Macedonia (the former Yugoslav Republic of),Skopje,2058539
Madagascar,Antananarivo,22434363
Malawi,Lilongwe,16832910
Malaysia,Kuala Lumpur,31405416
Maldives,Malé,344023
Mali,Bamako,18135000
Malta,Valletta,425384
Marshall Islands,Majuro,54880
Martinique,Fort-de-France,378243
Mauritania,Nouakchott,3718678
Mauritius,Port Louis,1262879
Mayotte,Mamoudzou,226915
Mexico,Mexico City,122273473
Micronesia (Federated States of),Palikir,102800
Moldova (Republic of),Chișinău,3553100
Monaco,Monaco,38400
Mongolia,Ulan Bator,3093100
Montenegro,Podgorica,621810
Montserrat,Plymouth,4922
Morocco,Rabat,33337529
Mozambique,Maputo,26423700
Myanmar,Naypyidaw,51419420
Namibia,Windhoek,2324388
Nauru,Yaren,10084
Nepal,Kathmandu,28431500
Netherlands,Amsterdam,17019800
Netherlands,Rotterdam,17019800
Netherlands,The Hague,17019800
New Caledonia,Nouméa,268767
New Zealand,Wellington,4697854
Nicaragua,Managua,6262703
Niger,Niamey,20715000
Nigeria,Abuja,186988000
Niue,Alofi,1470
Norfolk Island,Kingston,2302
Korea (Democratic People's Republic of),Pyongyang,25281000
Northern Mariana Islands,Saipan,56940
Norway,Oslo,5223256
Oman,Muscat,4420133
Pakistan,Islamabad,194125062
Palau,Ngerulmud,17950
Palestine, State of,Ramallah,4682467
Panama,Panama City,3814672
Papua New Guinea,Port Moresby,8083700
Paraguay,Asunción,6854536
Peru,Lima,31488700
Philippines,Manila,103279800
Pitcairn,Adamstown,56
Poland,Warsaw,38437239
Portugal,Lisbon,10374822
Puerto Rico,San Juan,3474182
Qatar,Doha,2587564
Republic of Kosovo,Pristina,1733842
Réunion,Saint-Denis,840974
Romania,Bucharest,19861408
Russian Federation,Moscow,146599183
Rwanda,Kigali,11553188
Saint Barthélemy,Gustavia,9417
Saint Helena, Ascension and Tristan da Cunha,Jamestown,4255
Saint Kitts and Nevis,Basseterre,46204
Saint Lucia,Castries,186000
Saint Martin (French part),Marigot,36979
Saint Pierre and Miquelon,Saint-Pierre,6069
Saint Vincent and the Grenadines,Kingstown,109991
Samoa,Apia,194899
San Marino,City of San Marino,33005
Sao Tome and Principe,São Tomé,187356
Saudi Arabia,Riyadh,32248200
Senegal,Dakar,14799859
Serbia,Belgrade,7076372
Seychelles,Victoria,91400
Sierra Leone,Freetown,7075641
Singapore,Singapore,5535000
Sint Maarten (Dutch part),Philipsburg,38247
Slovakia,Bratislava,5426252
Slovenia,Ljubljana,2064188
Solomon Islands,Honiara,642000
Somalia,Mogadishu,11079000
South Africa,Pretoria,55653654
South Georgia and the South Sandwich Islands,King Edward Point,30
Korea (Republic of),Seoul,50801405
South Sudan,Juba,12131000
Spain,Madrid,46438422
Sri Lanka,Colombo,20966000
Sudan,Khartoum,39598700
Suriname,Paramaribo,541638
Svalbard and Jan Mayen,Longyearbyen,2562
Swaziland,Lobamba,1132657
Sweden,Stockholm,9894888
Switzerland,Bern,8341600
Syrian Arab Republic,Damascus,18564000
Taiwan,Taipei,23503349
Tajikistan,Dushanbe,8593600
Tanzania, United Republic of,Dodoma,55155000
Thailand,Bangkok,65327652
Timor-Leste,Dili,1167242
Togo,Lomé,7143000
Tokelau,Fakaofo,1411
Tonga,Nuku'alofa,103252
Trinidad and Tobago,Port of Spain,1349667
Tunisia,Tunis,11154400
Turkey,Ankara,78741053
Turkmenistan,Ashgabat,4751120
Turks and Caicos Islands,Cockburn Town,31458
Tuvalu,Funafuti,10640
Uganda,Kampala,33860700
Ukraine,Kiev,42692393
United Arab Emirates,Abu Dhabi,9856000
United Kingdom of Great Britain and Northern Ireland,London,65110000
United States of America,Washington, D.C.,323947000
Uruguay,Montevideo,3480222
Uzbekistan,Tashkent,31576400
Vanuatu,Port Vila,277500
Venezuela (Bolivarian Republic of),Caracas,31028700
Viet Nam,Hanoi,92700000
Wallis and Futuna,Mata-Utu,11750
Western Sahara,El Aaiún,510713
Yemen,Sana'a,27478000
Zambia,Lusaka,15933883
Zimbabwe,Harare,14240168
